"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",남태령어린이집,서울특별시 서초구 전원말길 6,서울특별시 서초구 방배동 2877,37.46589698,126.9887801,서울시 서초구,방배경찰서,N,1,1,2020-07-01
"어린이집",반포1동어린이집,서울특별시 서초구 신반포로 318,서울특별시 서초구 반포동 703-1,37.5099591,127.0184672,서울시 서초구,서초경찰서,Y,1,3,2020-07-01
"어린이집",반포서래어린이집,서울특별시 서초구 사평대로28길 70,서울특별시 서초구 반포동 74-7,37.4974379,127.0003038,서울시 서초구,방배경찰서,Y,1,3,2020-07-01
"어린이집",반포어린이집,서울특별시 서초구 사평대로20길 54,서울특별시 서초구 반포동 107-87,37.49702913,126.9967752,서울시 서초구,방배경찰서,Y,1,1,2020-07-01
"어린이집",사랑의어린이집,서울특별시 서초구 신반포로33길 22,서울특별시 서초구 잠원동 60-5,37.50995268,127.0109679,서울시 서초구,서초경찰서,Y,1,1,2020-07-01
"어린이집",샤이닝키즈어린이집,서울특별시 서초구 서초대로74길 30,서울특별시 서초구 서초동 1326-17,37.49509077,127.026805,서울시 서초구,서초경찰서,Y,1,1,2020-07-01
"어린이집",서초구청직장어린이집,서울특별시 서초구 남부순환로347길 46,서울특별시 서초구 서초동 1360-26,37.48642194,127.0314197,서울시 서초구,서초경찰서,Y,1,3,2020-07-01
"어린이집",서초남서울어린이집,서울특별시 서초구 반포대로 310-5,서울특별시 서초구 잠원동 76-9,37.5068308,127.0008832,서울시 서초구,서초경찰서,N,1,1,2020-07-01
"어린이집",서초성모어린이집,서울특별시 서초구 고무래로8길 21,서울특별시 서초구 반포동 54-9,37.5010268,127.0095516,서울시 서초구,방배경찰서,Y,1,1,2020-07-01
"어린이집",서초어린이집,서울특별시 서초구 남부순환로 2271-1,서울특별시 서초구 방배동 1027-6,37.4746298,127.0002477,서울시 서초구,방배경찰서,Y,1,1,2020-07-01
"어린이집",서초연꽃어린이집,서울특별시 서초구 사임당로19길 51,서울특별시 서초구 서초동 1642-15,37.4917669,127.0180788,서울시 서초구,서초경찰서,Y,1,2,2020-07-01
